Product ID,Product Name,Description,Default Price,Brand,Category,SKU,Default Cost Price,Ask For Quantity,Default Quantity,Quantity Units,Ask For Price,VAT Enabled,Variant Price,Variant Enabled,Attribute 1,Value 1,Attribute 2,Value 2,Attribute 3,Value 3,Image URL,Barcode,Track Stock
burger001,CLASSIC BURGER,* Beef patty * Relish * With Our Signature Sauce.,64.90,Kingdom Coffee,Classic Burgers,KC-CB-001,,No,1,unit,No,Yes,,Yes,Meal Type,Single,,,,,,No
burger001,CLASSIC BURGER,* Beef patty * Relish * With Our Signature Sauce.,64.90,Kingdom Coffee,Classic Burgers,KC-CB-002,,No,1,unit,No,Yes,74.90,Yes,Meal Type,Combo,,,,,,No
burger002,CHEESE BURGER,* Beef Patty * Cheese & Our Signature Sauce.,65.90,Kingdom Coffee,Classic Burgers,KC-CB-003,,No,1,unit,No,Yes,,Yes,Meal Type,Single,,,,,,No
burger002,CHEESE BURGER,* Beef Patty * Cheese & Our Signature Sauce.,65.90,Kingdom Coffee,Classic Burgers,KC-CB-004,,No,1,unit,No,Yes,75.90,Yes,Meal Type,Combo,,,,,,No
burger003,MACON BURGER,* Beef Patty * Macon & Cheese With Our Signature Sauce.,65.90,Kingdom Coffee,Classic Burgers,KC-CB-005,,No,1,unit,No,Yes,,Yes,Meal Type,Single,,,,,,No
burger003,MACON BURGER,* Beef Patty * Macon & Cheese With Our Signature Sauce.,65.90,Kingdom Coffee,Classic Burgers,KC-CB-006,,No,1,unit,No,Yes,75.90,Yes,Meal Type,Combo,,,,,,No
burger004,MACON EGG & CHEESE,* Beef Patty * Egg * Cheese & Our Signature Sauce.,69.90,Kingdom Coffee,Classic Burgers,KC-CB-007,,No,1,unit,No,Yes,,Yes,Meal Type,Single,,,,,,No
burger004,MACON EGG & CHEESE,* Beef Patty * Egg * Cheese & Our Signature Sauce.,69.90,Kingdom Coffee,Classic Burgers,KC-CB-008,,No,1,unit,No,Yes,79.90,Yes,Meal Type,Combo,,,,,,No

coffee001,Americano,Freshly brewed Americano,30.00,Kingdom Coffee,Coffee,KC-CF-001,,No,1,cup,No,Yes,,Yes,Size,Small,,,,,,No
coffee001,Americano,Freshly brewed Americano,30.00,Kingdom Coffee,Coffee,KC-CF-002,,No,1,cup,No,Yes,35.00,Yes,Size,Medium,,,,,,No
coffee002,Butterscotch Latte,Butterscotch flavoured latte,30.00,Kingdom Coffee,Coffee,KC-CF-003,,No,1,cup,No,Yes,,Yes,Size,Small,,,,,,No
coffee002,Butterscotch Latte,Butterscotch flavoured latte,30.00,Kingdom Coffee,Coffee,KC-CF-004,,No,1,cup,No,Yes,35.00,Yes,Size,Medium,,,,,,No
coffee003,Cafe Latte,Smooth espresso with milk,30.00,Kingdom Coffee,Coffee,KC-CF-005,,No,1,cup,No,Yes,,Yes,Size,Small,,,,,,No
coffee003,Cafe Latte,Smooth espresso with milk,30.00,Kingdom Coffee,Coffee,KC-CF-006,,No,1,cup,No,Yes,35.00,Yes,Size,Medium,,,,,,No
coffee004,Cappuccino,Espresso with foamed milk,30.00,Kingdom Coffee,Coffee,KC-CF-007,,No,1,cup,No,Yes,,Yes,Size,Small,,,,,,No
coffee004,Cappuccino,Espresso with foamed milk,30.00,Kingdom Coffee,Coffee,KC-CF-008,,No,1,cup,No,Yes,35.00,Yes,Size,Medium,,,,,,No
coffee005,Chai Tea Latte,Spiced chai tea latte,30.00,Kingdom Coffee,Coffee,KC-CF-009,,No,1,cup,No,Yes,,Yes,Size,Small,,,,,,No
coffee005,Chai Tea Latte,Spiced chai tea latte,30.00,Kingdom Coffee,Coffee,KC-CF-010,,No,1,cup,No,Yes,35.00,Yes,Size,Medium,,,,,,No
coffee006,Dark Mocha Latte,Rich dark chocolate mocha,30.00,Kingdom Coffee,Coffee,KC-CF-011,,No,1,cup,No,Yes,,Yes,Size,Small,,,,,,No
